Pb二元系状態図 (id : 1281),温度 (id : 6595)
Pb（Mg~1/3~Nb~2/3~）O~3~（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789),ε' (id : 8474)
Pb (id : 11092),Bi-Pb合金の粘性と状態図の関係 (id : 1988)
Pb  (id : 6515),Ag-Pb系溶融合金の密度 (id : 108)
The Pb-Sn phase diagram: solidification of a dilute alloy A. (id : 3465),Temperature (id : 13534)
Partial phase diagram for the Pb-Sn system, (id : 3438),Temperature (id : 13534)
The Pb-Sn phase diagram: solidification of a dilute alloy A and an off-eutectic alloy c. (id : 3466),Temperature (id : 13534)
Sn (id : 6539),Pb-Sn系の400℃での粘度 (id : 131)
Pb二元系状態図 (id : 1277),温度 (id : 6595)
PbO-SiO_2系のSiO_2とPbOの活量およびZnO-SiO_2系のSiO_2とZnOの活量 (id : 334),αi (id : 6639)
Pb二元系状態図 (id : 1278),温度 (id : 6595)
N_PbS (id : 7028),Cu_2S-PbS, FeS-PbS系の活量 (1200℃) (id : 364)
pH (id : 8216),Pb-H2O系 (id : 705)
Pb二元系状態図 (id : 1290),温度 (id : 6595)
Pb二元系状態図 (id : 1275),温度 (id : 6595)
at% (id : 7379),Pb二元系状態図 (id : 1281)
at% (id : 7379),Pb二元系状態図 (id : 1286)
at% (id : 7379),Pb二元系状態図 (id : 1270)
at% (id : 7379),Pb二元系状態図 (id : 1277)
at% (id : 7379),Pb二元系状態図 (id : 1272)
at% (id : 7379),Pb二元系状態図 (id : 1273)
at% (id : 7379),Pb二元系状態図 (id : 1274)
at% (id : 7379),Pb二元系状態図 (id : 1290)
at% (id : 7379),Pb二元系状態図 (id : 1275)
at% (id : 7379),Pb二元系状態図 (id : 1289)
at% (id : 7379),Pb二元系状態図 (id : 1291)
at% (id : 7379),Pb二元系状態図 (id : 1278)
at% (id : 7379),Pb二元系状態図 (id : 1276)
at% (id : 7379),Pb二元系状態図 (id : 1284)
at% (id : 7379),Pb二元系状態図 (id : 1268)
at% (id : 7379),Pb二元系状態図 (id : 1282)
at% (id : 7379),Pb二元系状態図 (id : 1269)
at% (id : 7379),Pb二元系状態図 (id : 1285)
